mz	time	mz.min	mz.max	p_0hr_01_1	p_0hr_01_3	p_0hr_01_5	p_0hr_02_1	p_0hr_02_3	p_0hr_02_5	p_0hr_03_1	p_0hr_03_3	p_0hr_03_5	mock_6hr_01_1	mock_6hr_01_3	mock_6hr_01_5	mock_6hr_02_1	mock_6hr_02_3	mock_6hr_02_5	mock_6hr_03_1	mock_6hr_03_3	mock_6hr_03_5	yf_6hr_01_1	yf_6hr_01_3	yf_6hr_01_5	yf_6hr_02_1	yf_6hr_02_3	yf_6hr_02_5	yf_6hr_03_1	yf_6hr_03_3	yf_6hr_03_5
789.2068	38.38865	789.1772	789.2359	16.1393	16.9351	18.9191	18.3991	18.5826	18.3043	12.5881	15.027	9.9658	14.9493	15.212	16.1693	12.8564	11.782	13.814	13.5262	13.363	13.6171	13.4744	15.4227	13.6316	14.2733	14.5913	14.4594	13.8959	14.023	9.9658
789.2547	38.87328	789.2443	789.2694	17.9295	17.5386	18.3063	16.0809	16.1641	16.7177	13.8599	16.0544	15.1586	14.7952	14.0481	14.838	15.0914	15.8184	14.5938	12.4979	14.6507	16.087	14.1169	15.7805	13.8073	14.4447	14.6	15.4706	16.1745	14.9534	14.7306
789.3395	39.14839	789.2862	789.3699	15.9742	17.4356	18.6915	16.2115	17.9991	18.0951	15.4887	14.5578	16.6402	13.7434	14.0356	15.3243	14.0231	15.107	12.9681	15.055	16.9743	11.8813	16.2378	12.8232	16.3202	15.1036	15.6022	14.2558	13.5057	15.2397	15.1615
789.4084	40.33846	789.3783	789.437	18.2265	16.8989	18.6597	17.6951	15.7726	19.0487	15.7701	13.5014	13.8944	14.7318	16.0714	15.4748	13.8238	13.9786	14.7458	14.5369	16.0816	13.7133	14.7596	16.1409	13.3297	15.2074	16.1712	15.7802	14.9756	13.7501	13.206
789.49	39.48874	789.4454	789.5376	18.8642	15.9872	19.7344	18.8407	17.5846	18.8049	13.8478	14.0379	13.3732	15.7207	15.2962	16.1371	13.7217	11.5258	13.1546	12.3043	12.9449	11.6472	15.4457	12.7939	12.5967	14.8999	10.5766	14.9985	13.4073	14.671	15.6679
789.6045	39.67006	789.546	789.6801	18.8593	18.5202	18.7602	16.2498	18.0237	19.6332	14.2526	11.2588	14.531	14.7435	16.8665	13.9225	13.9111	12.7381	13.7092	12.5773	13.4132	14.4761	14.7345	16.1695	13.0502	14.5024	13.1072	14.152	15.594	14.5248	12.2607
789.7195	39.14872	789.6969	789.7388	18.3318	18.6898	15.4366	16.8729	17.622	17.6402	12.9378	9.9658	13.0862	13.5439	14.2151	14.3631	15.4376	14.5594	12.4146	15.0096	15.5466	14.2295	12.7839	13.617	14.3283	13.7209	14.7141	14.3075	14.2875	13.6409	15.7181
789.8148	40.44366	789.7556	789.8646	17.1978	19.7013	18.9769	18.4544	18.7339	19.3492	13.4321	13.6998	15.5951	14.8084	17.3538	15.2909	15.6076	16.4245	14.0842	16.5943	14.4302	16.6878	16.9194	14.8738	16.0687	16.618	16.3558	15.467	16.2622	16.523	16.8311
789.9113	39.11751	789.873	789.9569	16.9468	17.2717	19.2596	18.7663	18.6368	19.3971	14.8286	14.6254	12.8016	14.2975	14.7158	13.6794	14.8709	13.8417	13.9119	16.2669	13.9117	12.2745	14.4606	13.3475	13.6982	14.0658	15.2291	13.8526	13.4275	14.6365	16.16
790.0017	39.22071	789.9653	790.0408	18.0649	19.2916	15.5106	18.3864	18.4631	18.6752	13.3412	15.4589	13.8175	15.5884	14.3227	9.9658	15.2471	10.7995	13.7378	15.0724	13.555	13.5281	13.2385	16.1413	15.1916	13.8684	13.8399	15.0734	16.207	12.5536	15.4251
790.081	38.56761	790.0492	790.1163	18.2787	19.0124	18.271	15.7524	18.599	16.703	14.6285	13.3311	12.5543	14.391	13.256	13.9337	13.111	14.4939	13.7035	14.8451	14.2854	14.094	13.0996	13.3916	13.1599	12.9105	13.2339	16.6973	13.5087	15.2552	15.0417
790.1457	40.21604	790.1247	790.1666	17.5622	16.3124	17.8576	16.9799	16.8361	18.2168	12.3289	15.2	14.0265	14.7377	14.7277	14.6006	9.9658	13.6644	12.0634	13.7611	14.5851	13.4176	14.8617	13.5065	14.5113	14.2181	14.9681	15.2344	14.709	9.9658	11.8948
790.2391	39.77583	790.2086	790.2674	18.2163	16.7356	18.848	17.7321	18.0564	15.1484	14.8152	13.5753	12.776	15.2529	14.0913	14.9147	13.5628	11.5653	13.6409	13.6626	13.5619	16.1195	14.6665	14.8692	14.4349	13.3738	13.6522	15.0535	13.3878	12.7021	13.9442
790.3007	39.91402	790.2758	790.3345	17.6811	17.7006	18.5262	17.023	16.8614	18.7294	15.9786	15.6801	12.2641	14.3696	15.8244	13.5924	10.944	11.4304	14.067	14.2972	16.0924	11.6734	14.4954	13.0779	15.0415	14.1159	15.0382	14.4829	15.1264	15.2125	15.2972
790.3932	39.67355	790.3429	790.4353	18.3404	17.0285	18.7988	19.4551	19.4666	18.6406	14.4781	15.3671	15.1972	14.7099	17.133	15.0292	16.1688	13.3357	14.4172	13.5929	15.5552	13.9295	15.0857	14.3163	15.2609	14.3492	15.6967	14.7039	13.6753	15.7657	16.0162
790.5461	37.53935	790.4521	790.6032	19.0493	18.6502	19.5313	19.2328	19.5349	18.9944	14.7145	13.9313	14.2268	14.4917	13.9964	14.9148	13.6024	14.1365	12.3958	13.9136	12.4094	13.6158	14.2332	14.7984	14.7955	13.0816	15.0642	10.502	14.1631	15.0593	15.2706
790.6396	38.51517	790.62	790.662	16.7988	17.3946	18.8492	16.2784	18.6415	17.5718	11.6616	14.8201	14.8465	15.3716	14.1138	14.727	13.7692	12.8804	14.0844	14.4284	14.5479	12.6266	14.5138	15.9253	13.1534	13.8064	12.8168	15.1513	14.077	14.8315	14.5334
790.7178	38.59423	790.6704	790.7629	18.9047	18.9754	19.1736	17.1274	19.27	17.1315	14.5202	12.7953	14.4945	16.3135	14.2786	14.1936	12.4028	12.4345	15.0355	14.5741	15.3658	15.1151	14.5224	14.0514	12.9357	14.032	15.112	13.3637	13.7685	13.6827	12.7002
790.8591	39.97541	790.7713	790.9225	19.837	19.5877	19.6309	18.205	19.1808	19.3722	11.5353	15.9857	15.9211	15.3381	16.7701	15.9477	13.0271	14.1051	13.5122	16.4429	16.1846	16.2733	15.8239	14.7791	14.9055	13.8383	14.1626	14.0455	13.5395	15.9672	14.8418
790.9454	39.07973	790.9309	790.9645	17.2543	17.1239	18.3292	18.4513	17.8539	15.9575	14.8935	15.5039	15.6866	15.4086	15.0555	15.8659	14.2729	14.0593	14.0997	15.2018	14.2364	15.2862	13.7623	13.943	14.9671	14.6625	15.3567	13.6365	13.2484	14.188	12.9669
791.0336	39.45865	791.015	791.057	17.4953	16.5372	17.4874	16.5914	18.4167	18.4432	14.1095	12.4638	11.773	13.9668	13.8043	14.6444	12.0905	11.096	12.6638	14.5274	14.0916	13.9548	15.0997	14.12	15.6575	14.3314	15.7219	15.2215	15.3783	15.0976	15.5251
791.1091	39.60427	791.0822	791.1243	18.0303	16.1961	17.9009	18.6649	16.9992	17.5319	14.3588	14.6952	13.2073	16.3455	13.7426	15.8866	11.8787	12.2572	15.2241	14.9895	15.5805	15.0519	15.0998	15.0633	13.7732	15.0723	13.2714	14.3982	14.8618	13.8353	13.7683
